event_title,event_id,event_type,event_start,event_end,exp_attendance,exp_participants,event_host,event_url,event_address,lat,long
2017 San Diego Walk for Life,49172,FESTIVAL,2017-01-21 8:00,2017-01-21 11:30,2000,100,Diocese of San Diego,,6th Avenue & Maple Street,32.73242997,-117.1594036
The Mercato: Little Italy's Farmers Market (Sat.),48777,FARMERS,2017-01-21 8:00,2017-01-21 14:00,1500/day,400,Little Italy Association of San Diego,www.littleitalymercato.com,401 West Cedar Street,32.80563232,-116.95791
One Wave Challenge and Torrey Pines Adventure Run,48933,ATHLETIC,2017-01-21 6:00,2017-01-21 10:00,750,100,Boys to Men Mentoring,1wavechallenge.org,8300 Camino del Oro,32.85739221,-117.2563075
UCSD Tritonman Triathlon,48927,ATHLETIC,2017-01-21 5:00,2017-01-21 10:00,1000,100,UCSD Tritonman Club,www.tritonman.club,1750Fiesta Island Road,32.7788026,-117.2159384
North Park Thursday Market,48673,FARMERS,2017-01-19 15:00,2017-01-19 19:30,900,70,North Park Main Street,www.northparkmarket.com,2900 North Park Way,32.74767102,-117.1305303
Ocean Beach Certified Farmer's Market (Wednesdays),48569,FARMERS,2017-01-18 16:00,2017-01-18 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,4900 Block of Newport Avenue,32.7458016,-117.249336
Curbside Bites Food Truck Markets (Wed. Lunch),48519,FARMERS,2017-01-18 11:00,2017-01-18 14:00,300/day,25,Curbside Bites,www.curbsidebites.com,500 West B Street,32.71799441,-117.1676525
Pacific Beach Tuesday Farmer's Market,49010,FARMERS,2017-01-17 14:00,2017-01-17 19:00,800,60,Discover PB,www.pacificbeachmarket.com,4499 Bayard St,32.79687832,-117.2533648
Memorial Park Carnival (11-Day Event),48516,FESTIVAL,2017-01-15 14:00,2017-01-15 23:00,500/day,30,D & M Productions,,2947 Ocean View Boulevard,32.70094435,-117.1306216
Martin Luther King Jr. Parade,48869,PARADES,2017-01-15 14:00,2017-01-15 16:00,10000,3000,Zeta Sigma Lambda Foundation and Alpha Phi Alpha,,,NaN,NaN
2017 Hillcrest Farmers' Market (Sundays),48806,FARMERS,2017-01-15 9:00,2017-01-15 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485387,-117.1498828
Old Town Artisan's Market,49063,FARMERS,2017-01-15 9:00,2017-01-15 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
